Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25161484610988955
75% Corpus,2,0.01,0.31,0.2763244304870926
75% Corpus,2,0.01,0.61,0.2281747159839519
75% Corpus,2,0.01,0.9099999999999999,0.21646600541131278
75% Corpus,2,0.01,symmetric,0.20978781296201443
75% Corpus,2,0.31,0.01,0.25179230888639836
75% Corpus,2,0.31,0.31,0.23379228777459216
75% Corpus,2,0.31,0.61,0.21454564730905232
75% Corpus,2,0.31,0.9099999999999999,0.1997121348740632
75% Corpus,2,0.31,symmetric,0.2241665654754414
75% Corpus,2,0.61,0.01,0.21537234653335124
75% Corpus,2,0.61,0.31,0.24407218262437227
75% Corpus,2,0.61,0.61,0.2286943650963254
75% Corpus,2,0.61,0.9099999999999999,0.20141961825935256
75% Corpus,2,0.61,symmetric,0.23136282853671586
75% Corpus,2,0.9099999999999999,0.01,0.20456143914447045
75% Corpus,2,0.9099999999999999,0.31,0.2195154592615497
75% Corpus,2,0.9099999999999999,0.61,0.18676854962897627
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.20575338865235326
75% Corpus,2,0.9099999999999999,symmetric,0.22149565172583324
75% Corpus,2,symmetric,0.01,0.22888929200583552
75% Corpus,2,symmetric,0.31,0.23396924106005162
75% Corpus,2,symmetric,0.61,0.21923008121573137
75% Corpus,2,symmetric,0.9099999999999999,0.21050129344928126
75% Corpus,2,symmetric,symmetric,0.23474803101912933
75% Corpus,2,asymmetric,0.01,0.2509448152632743
75% Corpus,2,asymmetric,0.31,0.2874059830016924
75% Corpus,2,asymmetric,0.61,0.2519085440912581
75% Corpus,2,asymmetric,0.9099999999999999,0.2635447783769909
75% Corpus,2,asymmetric,symmetric,0.2417562805214456
75% Corpus,3,0.01,0.01,0.2546791829845036
75% Corpus,3,0.01,0.31,0.26958394472334163
75% Corpus,3,0.01,0.61,0.2444116561380667
75% Corpus,3,0.01,0.9099999999999999,0.25143754272532104
75% Corpus,3,0.01,symmetric,0.25373823523772066
75% Corpus,3,0.31,0.01,0.24740209668863775
75% Corpus,3,0.31,0.31,0.27076155670810353
75% Corpus,3,0.31,0.61,0.2370152599551586
75% Corpus,3,0.31,0.9099999999999999,0.23105366639023864
75% Corpus,3,0.31,symmetric,0.26746650286206547
75% Corpus,3,0.61,0.01,0.22177411163332725
75% Corpus,3,0.61,0.31,0.23884186192617465
75% Corpus,3,0.61,0.61,0.2460752384481338
75% Corpus,3,0.61,0.9099999999999999,0.24460994019841972
75% Corpus,3,0.61,symmetric,0.2765458201332523
75% Corpus,3,0.9099999999999999,0.01,0.16422638484277793
